,Tit For Tat,First by Tideman and Chieruzzi,First by Nydegger,First by Grofman,First by Shubik,First by Stein and Rapoport,Grudger,First by Davis,First by Graaskamp,First by Downing,First by Feld,First by Joss,First by Tullock,First by Anonymous,Random,Second by Appold,Second by Black,Second by Borufsen,Second by Cave,Second by Champion,Second by Colbert,Second by Eatherley,Second by Getzler,Second by Gladstein,Second by GraaskampKatzen,Second by Harrington,Second by Kluepfel,Second by Leyvraz,Second by Mikkelson,Second by Grofman,Second by Tideman and Chieruzzi,Second by RichardHufford,Second by Rowsam,Second by Tester,Second by Tranquilizer,Second by Weiner,Second by White,Second by WmAdams,Second by Yamachi
Second by Getzler,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Gladstein,"[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
Second by GraaskampKatzen,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Harrington,"[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
Second by Kluepfel,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Leyvraz,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Mikkelson,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Grofman,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by Tideman and Chieruzzi,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
Second by RichardHufford,"[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[0, 0, 100]","[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
Second by Rowsam,"[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[0, 100, 0]","[100, 0, 0]","[100, 0, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 100, 0]","[0, 0, 100]","[0, 100, 0]","[0, 100, 0]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]","[0, 0, 100]"
